Disposal Site,Address 1,Citation,Latitude,Longitude,distance_to_node,osmid,node_latitude,node_longitude,Trucks
Wakehatchee Park DMS,"16760 BASS RD Fort Myers, FL, 33908",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),26.49753647,-81.91363272,0.0004928166102153,4334650086,26.49733,-81.9140802,39
AandW Bulb Rd DMS,"14790 A AND W BULB RD Fort Myers, FL, 33908",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),26.52722228,-81.92040057,0.0003220550687335,8290139774,26.5274082,-81.9201376,39
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823,1925188152,26.4506141,-81.9404797,39
Lovers Key DMS,"8700 ESTERO BLVD. Ft Myers Beach, FL, 34134",2024 - Lee County Pre-Authorization for Disaster Debris Management Sites (DDMS),26.39383173,-81.86862896,0.0007075419355075,1926242574,26.3945379,-81.868673,39
FMB Elementary School DMS,"Fort Myers Beach, FL 33931",Google Maps,26.44862285,-81.93910093,0.0003266359248475,5706749089,26.4489467,-81.9391435,39
WM Gulf Coast TC FDS,"17101 Pine Ridge Rd, Fort Myers Beach, FL 33931",Google Maps,26.4929429,-81.93485334,0.0002378402102264,98161775,26.493069,-81.935055,39
