Load Date,Disposal Site,CYD,Proportion,Assigned Trucks
2022-10-30,Civic Center DMS,24742,0.25024020713440476,67
2022-10-30,Domestic Rd DMS,11637,0.11769643886602005,31
2022-10-30,Lee Health Bonita Springs DMS,2886,0.02918895957440353,8
2022-10-30,Lovers Key DMS,2776,0.028076421267686832,7
2022-10-30,Paige Field Airport DMS,10420,0.10538771959989077,28
2022-10-30,Pine Island DMS,14181,0.14342641570499529,38
2022-10-30,Wakehatchee Park DMS,14408,0.1457222902106743,39
2022-10-30,Wulfert Rd DMS,3648,0.03689581584456828,10
2022-10-31,AandW Bulb Rd DMS,6986,0.10245805467558372,27
2022-10-31,Bay Oaks DMS,1791,0.02626715945089757,7
2022-10-31,Civic Center DMS,14952,0.21928898275255193,59
2022-10-31,Domestic Rd DMS,7853,0.11517364777660448,31
2022-10-31,Lee Health Bonita Springs DMS,1260,0.018479408658922915,5
2022-10-31,Lovers Key DMS,3535,0.05184500762642262,14
2022-10-31,Paige Field Airport DMS,7999,0.1173149125894638,31
2022-10-31,Pine Island DMS,10031,0.14711662560131408,39
2022-10-31,Wakehatchee Park DMS,9255,0.13573565645899333,36
2022-10-31,Wulfert Rd DMS,4522,0.06632054440924558,18
2022-11-01,AandW Bulb Rd DMS,10818,0.13016170950043315,33
2022-11-01,Bay Oaks DMS,1149,0.013824718452209067,3
2022-11-01,Civic Center DMS,9450,0.11370199249205891,29
2022-11-01,Domestic Rd DMS,9309,0.11200548657233612,28
2022-11-01,Lee Health Bonita Springs DMS,861,0.0103595148714987,3
2022-11-01,Lovers Key DMS,2122,0.02553181249398402,6
2022-11-01,Paige Field Airport DMS,18059,0.21728510925016845,55
2022-11-01,Pine Island DMS,13999,0.16843536432765424,42
2022-11-01,Wakehatchee Park DMS,12620,0.15184329579362787,38
2022-11-01,Wulfert Rd DMS,4725,0.056850996246029455,14
2022-11-02,AandW Bulb Rd DMS,8052,0.08780136739834472,23
2022-11-02,Bay Oaks DMS,2772,0.030226700251889168,8
2022-11-02,Civic Center DMS,28177,0.30725026442910575,80
2022-11-02,Domestic Rd DMS,8085,0.08816120906801007,23
2022-11-02,Lee Health Bonita Springs DMS,1615,0.01761043322756169,5
2022-11-02,Lovers Key DMS,1952,0.021285179975356297,6
2022-11-02,Paige Field Airport DMS,7151,0.07797659938717873,20
2022-11-02,Pine Island DMS,14630,0.15952980688497062,41
2022-11-02,Wakehatchee Park DMS,14332,0.15628032756496232,41
2022-11-02,Wulfert Rd DMS,4941,0.05387811181262063,14
2022-11-03,AandW Bulb Rd DMS,6288,0.0684855415781735,18
2022-11-03,Bay Oaks DMS,3164,0.03446060011980613,9
2022-11-03,Civic Center DMS,28387,0.30917606055655394,83
2022-11-03,Domestic Rd DMS,7516,0.08186026248434351,22
2022-11-03,Lee Health Bonita Springs DMS,1829,0.019920492294287426,5
2022-11-03,Lovers Key DMS,2553,0.02780591406632903,7
2022-11-03,Paige Field Airport DMS,8621,0.09389533300658934,25
2022-11-03,Pine Island DMS,13953,0.1519686325763764,41
2022-11-03,Wakehatchee Park DMS,14650,0.15955998475194685,43
2022-11-03,Wulfert Rd DMS,4854,0.05286717856559386,14
2022-11-04,AandW Bulb Rd DMS,4751,0.05443338183568016,14
2022-11-04,Bay Oaks DMS,2009,0.023017609789072076,6
2022-11-04,Civic Center DMS,22701,0.26009097054341723,69
2022-11-04,Domestic Rd DMS,8872,0.10164869788384642,27
2022-11-04,Lee Health Bonita Springs DMS,1817,0.020817818310972607,6
2022-11-04,Lovers Key DMS,3004,0.03441757083443132,9
2022-11-04,Paige Field Airport DMS,9574,0.10969168547564762,29
2022-11-04,Pine Island DMS,15892,0.18207857380185838,48
2022-11-04,Wakehatchee Park DMS,14397,0.1649499891156151,44
2022-11-04,Wulfert Rd DMS,4264,0.048853702409459104,13
2022-11-05,AandW Bulb Rd DMS,2168,0.02057902230659706,6
2022-11-05,Bay Oaks DMS,2266,0.021509254864736593,6
2022-11-05,Civic Center DMS,29720,0.28210726150925486,79
2022-11-05,Domestic Rd DMS,10370,0.09843379212149976,27
2022-11-05,Lee Health Bonita Springs DMS,815,0.007736117702895112,2
2022-11-05,Lovers Key DMS,6406,0.060806834361651636,17
2022-11-05,Paige Field Airport DMS,9857,0.09356430944470812,26
2022-11-05,Pine Island DMS,17621,0.16726150925486474,47
2022-11-05,SR 82 DMS,1183,0.011229235880398671,3
2022-11-05,Wakehatchee Park DMS,18278,0.17349786426198385,48
2022-11-05,Wheeler Rd DMS ,2790,0.026483151400094922,7
2022-11-05,Wulfert Rd DMS,3876,0.036791646891314665,10
2022-11-06,AandW Bulb Rd DMS,1968,0.01983730986724727,5
2022-11-06,Bay Oaks DMS,725,0.0073079520598344876,2
2022-11-06,Civic Center DMS,25310,0.25512312639229084,70
