osmid,x,y,total_CYD,geometry
98053284,-81.8848192,26.4070972,0.0,POINT (-81.8848192 26.4070972)
98053295,-81.8844258,26.4063622,0.0,POINT (-81.8844258 26.4063622)
98054683,-81.895055,26.407529,1520.813805136696,POINT (-81.895055 26.407529)
98062323,-81.912106,26.432122,91.05457854064838,POINT (-81.912106 26.432122)
98062337,-81.913219,26.432645,531.1517081537822,POINT (-81.913219 26.432645)
98062341,-81.913639,26.432986,960.1873926701262,POINT (-81.913639 26.432986)
98074455,-81.908071,26.425265,399.5609802035563,POINT (-81.908071 26.425265)
98074465,-81.907005,26.424041,13.354671519295096,POINT (-81.907005 26.424041)
98087995,-81.912101,26.431476,238.02341308885048,POINT (-81.912101 26.431476)
98088001,-81.910259,26.431486,43.77364553546726,POINT (-81.910259 26.431486)
98093609,-81.904909,26.423218,1.8885394067690033,POINT (-81.904909 26.423218)
98093611,-81.9047103,26.4233448,7.216918447295834,POINT (-81.9047103 26.4233448)
98093613,-81.9045097,26.4234881,235.05570830678488,POINT (-81.9045097 26.4234881)
98093619,-81.902299,26.42512,144.33836894591667,POINT (-81.902299 26.42512)
98096713,-81.905418,26.426031,15.647897941800313,POINT (-81.905418 26.426031)
98096766,-81.904163,26.431017,0.0,POINT (-81.904163 26.431017)
98098767,-81.88826,26.40546,104.40925005994347,POINT (-81.88826 26.40546)
98098769,-81.888269,26.406148,687.4957918998733,POINT (-81.888269 26.406148)
98105248,-81.9110969,26.4276028,29.33980864087559,POINT (-81.9110969 26.4276028)
98105250,-81.910741,26.427893,63.805652814409896,POINT (-81.910741 26.427893)
98105254,-81.909955,26.428561,844.0422191538324,POINT (-81.909955 26.428561)
98124288,-81.903186,26.420623,12.747640995690773,POINT (-81.903186 26.420623)
98124294,-81.899233,26.423503,0.6070305236043225,POINT (-81.899233 26.423503)
98125738,-81.92342,26.4382,351.4032253309467,POINT (-81.92342 26.4382)
98128527,-81.918062,26.434305,0.0,POINT (-81.918062 26.434305)
98128539,-81.917225,26.435303,910.5457854064838,POINT (-81.917225 26.435303)
98128546,-81.916457,26.434768,1949.0401156215676,POINT (-81.916457 26.434768)
98128554,-81.913153,26.434192,280.11086272541684,POINT (-81.913153 26.434192)
98153412,-81.884939,26.404842,0.0,POINT (-81.884939 26.404842)
98153441,-81.8845141,26.4078093,0.0,POINT (-81.8845141 26.4078093)
98157371,-81.906366,26.4242508,3.102600453977648,POINT (-81.906366 26.4242508)
98166589,-81.887127,26.405423,527.9816598638486,POINT (-81.887127 26.405423)
98166591,-81.887128,26.405889,192.29378031065815,POINT (-81.887128 26.405889)
98170208,-81.9227084,26.4376888,137.86337669413726,POINT (-81.9227084 26.4376888)
98203979,-81.912109,26.432351,5.395826876482866,POINT (-81.912109 26.432351)
98203983,-81.910293,26.432368,0.0,POINT (-81.910293 26.432368)
98206415,-81.8975349,26.4200771,0.0,POINT (-81.8975349 26.4200771)
98206428,-81.8988,26.422587,0.0,POINT (-81.8988 26.422587)
98218152,-81.9070876,26.4237222,3.979422321406114,POINT (-81.9070876 26.4237222)
98218157,-81.9066806,26.4240156,114.59387328930488,POINT (-81.9066806 26.4240156)
98218165,-81.9051243,26.425102,29.677047820655766,POINT (-81.9051243 26.425102)
98218174,-81.9033952,26.426358,0.06744783595603583,POINT (-81.9033952 26.426358)
98231941,-81.914948,26.432989,3851.001641745822,POINT (-81.914948 26.432989)
98231946,-81.913871,26.432065,1761.1304446480517,POINT (-81.913871 26.432065)
98235454,-81.887306,26.408614,0.0,POINT (-81.887306 26.408614)
98235466,-81.887866,26.408636,6.47499225177944,POINT (-81.887866 26.408636)
98235475,-81.888563,26.408957,645.4083422633068,POINT (-81.888563 26.408957)
98235542,-81.893052,26.411553,66.50356625265132,POINT (-81.893052 26.411553)
98235544,-81.89317,26.411584,22.79736855314011,POINT (-81.89317 26.411584)
98235590,-81.897108,26.411402,13.219775847383023,POINT (-81.897108 26.411402)
98235630,-81.898483,26.409758,39.86167105001718,POINT (-81.898483 26.409758)
98235674,-81.8984,26.409653,0.80937403147243,POINT (-81.8984 26.409653)
98241915,-81.911293,26.42985,691.4752142212794,POINT (-81.911293 26.42985)
98241918,-81.910242,26.42884,1676.888097538963,POINT (-81.910242 26.42884)
98241924,-81.909125,26.4277835,1402.7126443776772,POINT (-81.909125 26.4277835)
98241934,-81.908614,26.427298,1650.3810980082408,POINT (-81.908614 26.427298)
98243788,-81.8942,26.4151995,0.0,POINT (-81.8942 26.4151995)
98243793,-81.8943634,26.4152698,0.0,POINT (-81.8943634 26.4152698)
98243801,-81.900838,26.415216,0.6070305236043225,POINT (-81.900838 26.415216)
