Disposal Site,Address 1,Citation,Latitude,Longitude,distance_to_node,osmid,node_latitude,node_longitude
Bay Oaks DMS,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,26.45035724,-81.94068298,0.0003275665092823828,1925188152,26.4506141,-81.9404797
FMB Elementary School DMS,"Fort Myers Beach, FL 33931",Google Maps,26.44862285,-81.93910093,0.00032663592484755307,5706749089,26.4489467,-81.9391435
