osmid,x,y,total_CYD
98105248,-81.9110969,26.4276028,0.0
98105250,-81.910741,26.427893,531.0
98105254,-81.909955,26.428561,0.0
98107798,-81.867965,26.523387,0.0
98107800,-81.867983,26.524181,0.0
98108459,-81.9061308,26.5211128,721.0
98108474,-81.905551,26.521036,1535.0
98108500,-81.911239,26.505242,0.0
98108543,-81.911236,26.50513,0.0
98108670,-81.9067296,26.5218253,0.0
98108674,-81.906856,26.521392,0.0
98108680,-81.9078538,26.5250785,0.0
98108682,-81.9082122,26.5252527,0.0
98108684,-81.908436,26.525357,0.0
98108691,-81.909241,26.525536,0.0
98108697,-81.9095856,26.5255166,0.0
98108701,-81.9100413,26.5253892,0.0
98108712,-81.9102349,26.5252834,0.0
98108718,-81.910863,26.524595,0.0
98108760,-81.906083,26.523625,227.0
98108784,-81.9076577,26.5249813,0.0
98108788,-81.9077014,26.5251223,0.0
98109541,-81.889523,26.52568,115.0
98109576,-81.888247,26.525691,0.0
98112342,-81.9101215,26.5291201,0.0
98113096,-81.865049,26.521845,0.0
98113098,-81.86503,26.521188,0.0
98113104,-81.865044,26.521955,0.0
98113106,-81.865053,26.52248,0.0
98113802,-81.910403,26.496499,1105.0
98113953,-81.906085,26.500687,1622.0
98114003,-81.903097,26.495859,2733.0
98114016,-81.902951,26.494559,1910.0
98114066,-81.90389,26.489562,768.0
98114087,-81.906094,26.5021,207.0
98119510,-81.9171325,26.5161007,1691.0
98119526,-81.9171677,26.5168224,847.0
98119551,-81.8711822,26.5316202,0.0
98119553,-81.8708682,26.5316219,0.0
98124288,-81.903186,26.420623,714.0
98124294,-81.899233,26.423503,0.0
98125738,-81.92342,26.4382,2445.0
98125742,-81.91514,26.529059,153.0
98125753,-81.9137022,26.5281793,467.0
98128390,-81.893039,26.511087,0.0
98128392,-81.894633,26.511066,0.0
98128527,-81.918062,26.434305,82.0
98128539,-81.917225,26.435303,0.0
98128546,-81.916457,26.434768,0.0
98128554,-81.913153,26.434192,0.0
98130153,-81.910495,26.496435,967.0
98130228,-81.908702,26.493527,436.0
98130270,-81.907035,26.489572,3896.0
98130280,-81.907017,26.487763,1059.0
98130292,-81.902798,26.487528,317.0
98130309,-81.906367,26.487408,93.0
98131703,-81.864462,26.521851,0.0
98131709,-81.865621,26.521864,0.0
98131718,-81.866209,26.521973,0.0
98131719,-81.866791,26.521966,0.0
98131721,-81.867373,26.521961,0.0
98131765,-81.8696175,26.5220591,0.0
98131800,-81.8697066,26.5221942,0.0
98131826,-81.867362,26.522071,0.0
98131829,-81.866792,26.522078,0.0
98131831,-81.866207,26.522084,0.0
98131842,-81.86565,26.521989,0.0
98131847,-81.864464,26.521962,0.0
98132991,-81.895447,26.53116,868.0
98133000,-81.895429,26.528167,507.0
98134594,-81.901366,26.484944,1126.0
98134661,-81.898843,26.485011,2163.0
98136499,-81.902616,26.48441,0.0
98136509,-81.902198,26.484227,158.0
98136514,-81.90191,26.484125,156.0
98136561,-81.8990546,26.4834102,287.0
98136574,-81.90262,26.48431,772.0
98137989,-81.918998,26.524008,123.0
98145609,-81.898724,26.525983,0.0
98145614,-81.897294,26.526009,0.0
98145775,-81.897951,26.526956,0.0
98145777,-81.897285,26.526967,0.0
98148625,-81.917753,26.528758,81.0
98148638,-81.917497,26.528765,327.0
98153412,-81.884939,26.404842,786.0
98153441,-81.8845141,26.4078093,0.0
98157371,-81.906366,26.4242508,0.0
98159361,-81.9145101,26.5207708,0.0
98159367,-81.9145326,26.5220034,0.0
98159374,-81.9143691,26.5204037,67.0
98161330,-81.917187,26.5173337,684.0
98161331,-81.9157524,26.5173413,585.0
98161524,-81.8907744,26.5294806,0.0
98161530,-81.8909425,26.5298583,0.0
98161550,-81.892932,26.530554,0.0
98161598,-81.891011,26.530599,263.0
98161618,-81.890673,26.529516,0.0
98162532,-81.9149944,26.5217517,0.0
98162533,-81.9150065,26.522156,0.0
98162534,-81.9150118,26.5226411,0.0
98164656,-81.899392,26.490986,630.0
98166589,-81.887127,26.405423,0.0
98166591,-81.887128,26.405889,0.0
98168159,-81.899428,26.496408,235.0
98168161,-81.900977,26.496375,45.0
98168769,-81.90538,26.527823,814.0
98168784,-81.90548,26.527664,598.0
98170208,-81.9227084,26.4376888,416.0
98170391,-81.918815,26.527066,47.0
98170404,-81.918973,26.52721,285.0
98173523,-81.9095563,26.5289028,0.0
98173530,-81.9093869,26.5288249,0.0
98173925,-81.8850999,26.5198526,327.0
98181991,-81.8953527,26.4846588,885.0
98181993,-81.8953676,26.4852944,3612.0
98184098,-81.868529,26.502062,431.0
98184115,-81.868803,26.500592,0.0
98184130,-81.868979,26.499592,626.0
98184140,-81.868624,26.50206,413.0
98184704,-81.8922646,26.4972076,1065.0
98184705,-81.891753,26.4970476,0.0
98186580,-81.892141,26.500884,553.0
98186595,-81.89024,26.500548,0.0
98186609,-81.889064,26.496675,0.0
98187074,-81.887568,26.529606,266.0
98187186,-81.890103,26.526898,234.0
98189099,-81.909143,26.523464,0.0
98189151,-81.908468,26.524932,68.0
98189161,-81.908669,26.524228,0.0
98192633,-81.869139,26.524168,0.0
98193156,-81.892296,26.532802,77.0
98194453,-81.90591,26.526996,954.0
98195752,-81.872804,26.502046,137.0
98195874,-81.870057,26.509234,1624.0
98197213,-81.867715,26.513606,0.0
98197220,-81.8672305,26.5135037,403.0
98197792,-81.9064398,26.5271785,764.0
98197945,-81.8830916,26.5188852,3044.0
98197951,-81.8829845,26.5187518,0.0
98197956,-81.88131,26.5173073,0.0
98197963,-81.885106,26.520797,343.0
98197970,-81.8851144,26.5232772,11.0
98197980,-81.885104,26.520644,526.0
98200308,-81.902439,26.496761,2275.0
98200319,-81.902422,26.495957,208.0
98201406,-81.8651598,26.5151656,0.0
98201420,-81.866835,26.515067,167.0
98201443,-81.870853,26.513577,245.0
98201473,-81.8652309,26.5152677,0.0
98203979,-81.912109,26.432351,0.0
98203983,-81.910293,26.432368,0.0
98206072,-81.9075482,26.5177407,0.0
98206409,-81.865075,26.524214,0.0
98206411,-81.865063,26.523415,0.0
98206413,-81.865056,26.522893,0.0
98206415,-81.8975349,26.4200771,0.0
98206428,-81.8988,26.422587,0.0
98206725,-81.9127544,26.5321918,266.0
98209094,-81.890157,26.515227,712.0
98212461,-81.864443,26.51996,0.0
98218152,-81.9070876,26.4237222,0.0
98218157,-81.9066806,26.4240156,0.0
98218165,-81.9051243,26.425102,0.0
98218174,-81.9033952,26.426358,0.0
98218527,-81.907095,26.526644,569.0
98218623,-81.904612,26.530601,467.0
98218626,-81.90476,26.530724,687.0
98218650,-81.9065691,26.5305589,491.0
98218662,-81.907067,26.529229,400.0
98218666,-81.907314,26.52872,315.0
98218673,-81.90775,26.528045,0.0
98218819,-81.911373,26.511111,0.0
98218826,-81.912968,26.511071,0.0
98218850,-81.9113723,26.511244,0.0
98220405,-81.863768,26.487106,1406.0
98220423,-81.863755,26.486371,1941.0
98221775,-81.8884934,26.5298046,270.0
98221788,-81.888797,26.531066,64.0
98224480,-81.9080307,26.5222536,180.0
98224496,-81.908127,26.521238,125.0
98225666,-81.89673,26.527264,0.0
98226462,-81.870162,26.502039,1288.0
98226464,-81.87119,26.502026,187.0
98228841,-81.9104337,26.530248,16.0
98231941,-81.914948,26.432989,0.0
98231946,-81.913871,26.432065,0.0
98234897,-81.865619,26.521181,0.0
98234898,-81.865634,26.522467,0.0
98235030,-81.877624,26.516569,2425.0
98235083,-81.874296,26.518386,3739.0
98235454,-81.887306,26.408614,0.0
98235466,-81.887866,26.408636,0.0
98235475,-81.888563,26.408957,0.0
98235542,-81.893052,26.411553,0.0
98235544,-81.89317,26.411584,0.0
98235590,-81.897108,26.411402,0.0
98235630,-81.898483,26.409758,2556.0
98235674,-81.8984,26.409653,107.0
98238936,-81.9140897,26.5220198,0.0
98238939,-81.91399,26.521289,0.0
98238951,-81.9136307,26.5222969,0.0
98240373,-81.864821,26.509789,1308.0
98240404,-81.864721,26.50611,1726.0
98241084,-81.9023,26.526765,100.0
98241090,-81.902157,26.527512,161.0
98241915,-81.911293,26.42985,0.0
98241918,-81.910242,26.42884,0.0
98241924,-81.909125,26.4277835,0.0
98241934,-81.908614,26.427298,0.0
98242411,-81.909125,26.528639,0.0
98243761,-81.889277,26.53019,76.0
98243774,-81.889702,26.531347,106.0
98243788,-81.8942,26.4151995,0.0
98243793,-81.8943634,26.4152698,0.0
98243801,-81.900838,26.415216,43.0
98243803,-81.9004532,26.4152372,0.0
98245391,-81.892007,26.52714,156.0
98245393,-81.8916368,26.5271504,0.0
98245398,-81.904567,26.523794,202.0
98245811,-81.897578,26.491488,155.0
98245813,-81.897568,26.491127,0.0
98247303,-81.871157,26.498731,160.0
98248272,-81.905027,26.523642,632.0
98248278,-81.905034,26.522881,371.0
98248284,-81.905343,26.522556,780.0
98248812,-81.8841963,26.4047774,655.0
98251920,-81.916885,26.530163,370.0
98251930,-81.915023,26.529725,348.0
98258838,-81.897917,26.485571,851.0
98259693,-81.9072603,26.5241838,0.0
98259726,-81.907079,26.522537,0.0
98259758,-81.907468,26.52309,0.0
98259778,-81.907652,26.523212,0.0
98259782,-81.906975,26.522924,0.0
98259793,-81.906691,26.523495,0.0
98259814,-81.907206,26.524048,0.0
98260673,-81.872863,26.521037,0.0
98260676,-81.872592,26.521093,0.0
98260678,-81.871953,26.521215,127.0
98260708,-81.871991,26.523637,79.0
98260715,-81.872639,26.524142,58.0
98260721,-81.871999,26.52415,58.0
98260723,-81.872947,26.524139,0.0
98261333,-81.8982858,26.5046366,381.0
98261353,-81.896817,26.504027,1251.0
98264148,-81.895347,26.507153,0.0
98264599,-81.919758,26.529746,229.0
98264613,-81.9195872,26.520063,0.0
98265129,-81.902476,26.500388,4123.0
98265133,-81.900899,26.500422,609.0
98266558,-81.89728,26.526457,0.0
98266561,-81.89729,26.527473,0.0
98266565,-81.897294,26.527965,184.0
98266568,-81.897298,26.528092,610.0
98272065,-81.9247624,26.4390708,1226.0
98272072,-81.924111,26.438678,1790.0
98272073,-81.922039,26.437222,846.0
98272079,-81.9205098,26.4361169,2028.0
98272090,-81.919555,26.435414,131.0
98272096,-81.918787,26.434844,299.0
98272103,-81.916437,26.433102,491.0
98272109,-81.914518,26.431482,1501.0
98272120,-81.9125578,26.429782,32.0
98272125,-81.91208,26.429181,1161.0
98272136,-81.909408,26.426618,305.0
98272162,-81.907901,26.425489,12085.0
98272180,-81.906821,26.425303,178.0
98272207,-81.90539,26.423895,316.0
98272215,-81.9052523,26.4237198,18.0
98272222,-81.905143,26.423571,211.0
98272226,-81.904361,26.422395,2345.0
98272231,-81.903802,26.421548,1455.0
98272235,-81.902649,26.4198,438.0
98272236,-81.902606,26.419723,298.0
98272245,-81.901581,26.417219,2718.0
98272259,-81.899579,26.411833,584.0
98272261,-81.899549,26.411751,718.0
98272281,-81.896228,26.407141,1017.0
98272282,-81.896134,26.40704,2174.0
98272296,-81.894552,26.405797,1403.0
98272308,-81.892473,26.40486,191.0
98272332,-81.890671,26.404487,325.0
98272355,-81.889438,26.404434,335.0
98272390,-81.885915,26.40472,1584.0
98272501,-81.867661,26.394242,4593.0
98272509,-81.8672343,26.3931791,67.0
98274443,-81.891569,26.405518,0.0
98274447,-81.891372,26.405947,0.0
98275373,-81.9014988,26.4205854,0.0
98275382,-81.900562,26.421297,0.0
98275387,-81.899677,26.421937,0.0
98276792,-81.864492,26.524218,0.0
98276794,-81.864479,26.523419,0.0
98276797,-81.864472,26.522903,0.0
98277178,-81.87309,26.501951,0.0
98277183,-81.873265,26.501562,213.0
98277193,-81.873347,26.50058,19.0
98277195,-81.873483,26.499839,0.0
98277781,-81.898329,26.502911,728.0
98277835,-81.895433,26.504137,549.0
98277841,-81.8954527,26.5046895,155.0
98278994,-81.866862,26.502503,417.0
98279006,-81.866699,26.5031608,163.0
98279008,-81.8666141,26.5034104,137.0
98279013,-81.866519,26.503929,631.0
98280881,-81.89022,26.5224,0.0
98280898,-81.888798,26.524051,47.0
98280902,-81.889925,26.522566,0.0
98280925,-81.8899154,26.522442,0.0
98280948,-81.896536,26.515483,141.0
98280979,-81.896897,26.514442,0.0
98280985,-81.896701,26.514338,0.0
98280988,-81.896554,26.514318,0.0
98280994,-81.896529,26.514618,0.0
98284674,-81.880321,26.520772,0.0
98284690,-81.880023,26.519743,661.0
98284692,-81.879552,26.519136,306.0
98284723,-81.879871,26.517419,1204.0
98284942,-81.914454,26.532349,0.0
98284950,-81.914663,26.53194,326.0
98284958,-81.914712,26.531568,0.0
98285619,-81.889452,26.405301,0.0
98285620,-81.889455,26.406152,0.0
98286233,-81.912105,26.4316748,0.0
98287293,-81.8882888,26.5208774,0.0
98287321,-81.8951956,26.5207578,213.0
98287362,-81.9156379,26.5203803,0.0
98287428,-81.9251206,26.5183581,0.0
98287475,-81.8934429,26.5205799,6.0
98287578,-81.882143,26.520657,0.0
98287588,-81.8801393,26.5208137,0.0
98287595,-81.878822,26.521381,206.0
98287600,-81.878539,26.521574,99.0
98287617,-81.8766873,26.5245628,0.0
98287638,-81.874786,26.527311,72.0
98287653,-81.8713503,26.5278567,0.0
98288708,-81.9013744,26.521261,0.0
98289215,-81.899519,26.523736,130.0
98289270,-81.8995312,26.5236328,119.0
98291437,-81.893067,26.406002,0.0
98291458,-81.890333,26.40627,0.0
98291876,-81.908234,26.532521,0.0
98293796,-81.866199,26.521174,0.0
98293799,-81.866217,26.522468,0.0
98293802,-81.892016,26.502969,207.0
98293816,-81.890983,26.503967,0.0
98295128,-81.896976,26.490992,91.0
98295236,-81.890629,26.490932,1490.0
98295297,-81.8975527,26.490747,0.0
98296566,-81.893369,26.519877,0.0
98296573,-81.894456,26.519717,0.0
98297971,-81.897961,26.526447,0.0
98298342,-81.895863,26.528102,759.0
98299870,-81.864235,26.496019,1847.0
98299903,-81.864293,26.498978,1908.0
98300512,-81.893731,26.50677,0.0
98300529,-81.892533,26.507462,92.0
98300546,-81.890836,26.507292,0.0
98302930,-81.9048959,26.494557,938.0
98303593,-81.916447,26.528767,250.0
98303605,-81.916276,26.528625,82.0
98308614,-81.871848,26.517133,2924.0
98308618,-81.8718822,26.5197074,898.0
98309700,-81.8894541,26.5223634,0.0
98309724,-81.890887,26.521321,0.0
98309834,-81.9089682,26.5296099,0.0
98309849,-81.9088872,26.5309836,0.0
98310377,-81.869839,26.517154,554.0
98311425,-81.9095846,26.5276565,0.0
98311820,-81.891475,26.523467,94.0
98311822,-81.891532,26.526244,5.0
98311823,-81.891551,26.52715,0.0
98311828,-81.8915756,26.5282664,4.0
98311844,-81.89091,26.529402,245.0
98311853,-81.8884864,26.5296634,16.0
98311858,-81.887142,26.529597,39.0
98311878,-81.891498,26.528923,0.0
98311887,-81.891662,26.528271,0.0
98311892,-81.8916037,26.5249182,0.0
98311904,-81.8915914,26.5217301,2365.0
98311908,-81.895057,26.521594,260.0
98312217,-81.872001,26.524654,97.0
98312842,-81.912655,26.498937,0.0
98312856,-81.912718,26.498697,0.0
98312859,-81.912621,26.498749,0.0
98312864,-81.911115,26.500522,0.0
98313024,-81.89514,26.419287,0.0
98315980,-81.895124,26.40765,0.0
98315994,-81.8944768,26.4080993,0.0
98315998,-81.893942,26.406458,0.0
98316007,-81.894066,26.406527,0.0
98316112,-81.8987379,26.4200845,0.0
98316221,-81.895135,26.527942,254.0
98316235,-81.895283,26.527411,186.0
98316281,-81.892501,26.524376,100.0
98316297,-81.8919743,26.52489,0.0
98316787,-81.899442,26.497665,550.0
98316790,-81.899394,26.495185,0.0
98317275,-81.90816,26.429341,0.0
98318230,-81.903355,26.526915,444.0
98318236,-81.902964,26.526907,147.0
98318248,-81.901675,26.526132,443.0
98319178,-81.8981544,26.5250372,725.0
98319184,-81.8955087,26.5250691,1046.0
98319724,-81.877725,26.520052,321.0
98319733,-81.878364,26.521222,320.0
98319756,-81.878168,26.520183,745.0
98323662,-81.898735,26.526437,0.0
98323736,-81.898743,26.526946,0.0
98326756,-81.864767,26.485948,1346.0
98326951,-81.873606,26.524638,151.0
98329901,-81.900298,26.424095,0.0
98333702,-81.904205,26.503369,688.0
98333706,-81.904066,26.503409,344.0
98333727,-81.910994,26.501517,234.0
98333793,-81.907977,26.503513,147.0
98334787,-81.9055181,26.525628,152.0
98334810,-81.905058,26.525629,948.0
98337838,-81.89307,26.512903,1291.0
98337844,-81.891627,26.512925,0.0
98338471,-81.897971,26.527462,147.0
98339443,-81.904424,26.523918,436.0
98339445,-81.904488,26.523858,0.0
98339503,-81.90504,26.52445,686.0
98339911,-81.901482,26.530869,1590.0
98341638,-81.906114,26.487165,1482.0
98341682,-81.905397,26.483284,171.0
98341694,-81.904386,26.483056,331.0
98341709,-81.903783,26.483233,679.0
98341731,-81.903019,26.483331,1104.0
98341778,-81.90281,26.487071,0.0
98342148,-81.9115144,26.5174007,266.0
98342150,-81.9107011,26.5174181,0.0
98342152,-81.9100959,26.5174149,0.0
98342159,-81.9090704,26.5167424,0.0
98342161,-81.9089898,26.5166942,0.0
98342163,-81.9083125,26.5164972,0.0
98342168,-81.9073099,26.5162514,0.0
98342172,-81.906703,26.5159548,0.0
98342213,-81.904234,26.5156253,0.0
98342222,-81.904473,26.5136411,0.0
98342233,-81.9062324,26.5136154,0.0
98342238,-81.9065173,26.5138762,0.0
98342290,-81.899512,26.500459,476.0
98343626,-81.872445,26.514621,0.0
98343640,-81.872212,26.514714,99.0
98343652,-81.870924,26.51491,1147.0
98343919,-81.872348,26.510436,1426.0
98348531,-81.874264,26.517124,3689.0
98348597,-81.8665703,26.5172344,0.0
98348605,-81.87876,26.515805,6388.0
98348836,-81.87452,26.516747,5786.0
98351561,-81.867197,26.495982,2197.0
98351644,-81.86762,26.501849,1003.0
98354316,-81.865657,26.524205,0.0
98354327,-81.865644,26.523409,0.0
98354330,-81.865638,26.522886,0.0
98355906,-81.893056,26.511996,0.0
98355908,-81.893049,26.511772,0.0
98355917,-81.893007,26.510444,0.0
98357277,-81.9042341,26.5185378,0.0
98357279,-81.9054207,26.5185209,0.0
98373403,-81.8963143,26.5263308,334.0
98376247,-81.867385,26.523393,0.0
98376248,-81.867396,26.524187,0.0
98377901,-81.905395,26.5244415,178.0
98379275,-81.912099,26.430994,0.0
98379347,-81.904088,26.505415,1042.0
98386589,-81.917481,26.531905,4.0
98386596,-81.916128,26.531836,0.0
98387285,-81.8842667,26.5137691,0.0
98387420,-81.885965,26.516731,100.0
98387429,-81.88617,26.516366,0.0
98388518,-81.890568,26.405328,0.0
98389689,-81.8893707,26.501295,0.0
98392817,-81.91053,26.521556,596.0
98393647,-81.868551,26.523385,0.0
98393649,-81.868557,26.524176,0.0
98394314,-81.8945818,26.4956031,945.0
98394398,-81.898117,26.4976813,8652.0
98394567,-81.893097,26.50544,459.0
98396830,-81.904968,26.532609,0.0
98397009,-81.918557,26.529708,587.0
98397040,-81.915033,26.530572,492.0
98397564,-81.904841,26.508878,0.0
98397579,-81.9064466,26.5098519,0.0
98397618,-81.911185,26.5111078,0.0
98397814,-81.914733,26.436666,0.0
98400774,-81.9121318,26.4328927,0.0
98400778,-81.912123,26.433071,0.0
98400918,-81.864422,26.501722,253.0
98400924,-81.864212,26.501791,8208.0
98401135,-81.9022512,26.4936681,3836.0
98413031,-81.90299,26.528776,666.0
98415718,-81.900616,26.5303,315.0
98416001,-81.9060979,26.4233454,0.0
98416556,-81.882149,26.520445,143.0
98416582,-81.882146,26.519865,0.0
98420994,-81.905671,26.425485,0.0
98421417,-81.899521,26.526692,485.0
98421825,-81.910223,26.430401,0.0
98421833,-81.908923,26.430985,0.0
98422831,-81.9155863,26.5186199,37.0
98422837,-81.9121332,26.5161827,935.0
98422871,-81.9121513,26.5174025,173.0
98423326,-81.864469,26.522488,0.0
98423351,-81.864434,26.519309,0.0
98424246,-81.9056235,26.5227617,403.0
98428988,-81.9051523,26.4240411,0.0
98428992,-81.902807,26.425754,0.0
98430249,-81.864885,26.487132,1107.0
98431359,-81.90914,26.430056,0.0
98432973,-81.907709,26.494436,0.0
98435295,-81.866806,26.523398,0.0
98436459,-81.9091705,26.5135123,0.0
98436464,-81.909204,26.5149731,0.0
98436466,-81.9092213,26.5162462,0.0
98438883,-81.905099,26.489743,734.0
98439199,-81.866779,26.521177,0.0
98439207,-81.866813,26.524192,0.0
98440048,-81.908382,26.425036,0.0
98447068,-81.909856,26.525851,0.0
98447069,-81.9100635,26.5261106,0.0
98448028,-81.907117,26.517679,0.0
98448068,-81.9063133,26.5197458,714.0
98449429,-81.902795,26.489004,1093.0
98449443,-81.899215,26.488838,342.0
98450571,-81.8711466,26.5278643,0.0
98450668,-81.8711471,26.528023,0.0
98457384,-81.9105583,26.5137835,0.0
98457411,-81.908127,26.5136202,0.0
98457424,-81.911144,26.5028266,0.0
98457530,-81.911062,26.5052451,0.0
98457536,-81.911025,26.503635,0.0
98457539,-81.911013,26.503199,0.0
98457552,-81.9110099,26.5029514,0.0
98457630,-81.9111494,26.503081,0.0
98458155,-81.902787,26.486675,386.0
98458503,-81.9091195,26.5020378,427.0
98460971,-81.911169,26.532453,0.0
98469039,-81.88126,26.5197,72.0
98469066,-81.881931,26.520442,0.0
98482391,-81.8650364,26.5153406,40.0
98484037,-81.8872679,26.5236897,78.0
98484043,-81.887261,26.522904,0.0
98485984,-81.8990449,26.489888,720.0
98487541,-81.865714,26.502154,652.0
98489507,-81.894429,26.511977,0.0
98490148,-81.909094,26.43224,0.0
