fid,Disposal Site,Latitude,Longitude,Address 1,Citation,Assumption
1,Bay Oaks DMS,26.45035724,-81.94068298,"2731 Oak St, Fort Myers Beach, FL 33931",Google Maps,"Google; Similar to FMB Elementary School"
2,FMB Elementary School DMS,26.44862285,-81.93910093,"Fort Myers Beach, FL 33931",Google Maps,Google
