fid,Load_Date,fldDebrisC,Pile_Latit,Pile_Longi
100,10/13/2022,Dirty Sand Soil,26.448974,-81.9433553
101,10/29/2022,C and D,26.4115367364,-81.899531968
102,12/15/2022,C and D,26.4585598873,-81.9394824632
103,12/05/2022,C and D,26.4515857,-81.9505301
104,11/07/2022,C and D,26.443638713,-81.9330050226
105,11/12/2022,C and D,26.4388674405,-81.9245191757
106,10/31/2022,Dirty Sand Soil,26.4211983,-81.9034341
107,01/13/2023,C and D,26.4582342888,-81.9394605049
108,11/15/2022,C and D,26.4383926879,-81.923736892
109,12/15/2022,C and D,26.4586842029,-81.939580103
110,10/28/2022,Clean Sand Soil,26.4526856,-81.9552773
111,11/07/2022,C and D,26.4602334528,-81.947389226
112,11/08/2022,C and D,26.4418383222,-81.929774629
113,12/06/2022,C and D,26.4601981712,-81.9476137292
114,12/15/2022,C and D,26.4639167,-81.9540932
115,02/09/2023,C and D,26.4129334,-81.9000351
116,02/08/2023,C and D,26.4170778,-81.9015903
117,12/12/2022,Vegetation,26.427261,-81.9101081
118,10/15/2022,C and D,26.4496208595,-81.9457994789
119,01/20/2023,Dirty Sand Soil,26.4275194,-81.9104194
120,11/16/2022,Dirty Sand Soil,26.4225576,-81.904105
121,12/07/2022,C and D,26.4584069,-81.939569
122,12/16/2022,C and D,26.4640773554,-81.948638605
123,10/16/2022,C and D,26.4310235414,-81.9138896237
124,01/19/2023,C and D,26.465466292,-81.9542963933
125,11/16/2022,C and D,26.4363068062,-81.9201468111
126,10/30/2022,C and D,26.4654442827,-81.9543318098
127,11/15/2022,C and D,26.432773,-81.9161683
128,12/17/2022,C and D,26.4598006458,-81.946762526
129,01/04/2023,C and D,26.4303098,-81.9130262
130,11/09/2022,C and D,26.4611710272,-81.9499429015
131,02/01/2023,C and D,26.4579443587,-81.9395177533
132,12/17/2022,C and D,26.4614233934,-81.9538401627
133,12/02/2022,C and D,26.466297,-81.9556562
134,10/15/2022,C and D,26.4479876103,-81.9410381493
135,01/04/2023,Dirty Sand Soil,26.4376628,-81.9224472
136,01/11/2023,C and D,26.4590385722,-81.9462147278
137,11/18/2022,C and D,26.4255136995,-81.9077403203
138,12/07/2022,C and D,26.460228,-81.9402135
139,10/14/2022,C and D,26.4521611029,-81.9531112617
140,12/03/2022,C and D,26.4611101825,-81.9537877515
141,11/11/2022,C and D,26.4098698496,-81.8986227942
142,12/06/2022,C and D,26.4580789721,-81.9407803193
143,02/20/2023,C and D,26.4311674278,-81.9139753124
144,02/12/2023,C and D,26.4253979,-81.9074173
145,11/08/2022,C and D,26.4258341,-81.9087121
146,11/18/2022,C and D,26.4045828879,-81.8864546634
147,10/21/2022,Dirty Sand Soil,26.4515341,-81.9514158
148,11/09/2022,C and D,26.4613618674,-81.9524292476
149,11/04/2022,C and D,26.4046432185,-81.891880965
150,10/06/2022,C and D,26.4638086,-81.9541721
151,12/18/2022,C and D,26.4602147086,-81.9461988224
152,11/12/2022,C and D,26.4398901319,-81.9261767318
153,12/18/2022,C and D,26.4383583656,-81.9236995932
154,11/09/2022,C and D,26.4340339,-81.9175136
155,11/07/2022,C and D,26.4076725,-81.8966957
156,12/12/2022,C and D,26.4500379,-81.9465911
157,02/11/2023,C and D,26.4350331,-81.9188386
158,11/11/2022,C and D,26.4105582,-81.8990369
159,05/01/2023,C and D,26.4172013,-81.90152
160,12/07/2022,C and D,26.458192,-81.9395396
161,10/18/2022,Dirty Sand Soil,26.4519417,-81.9521516
162,11/05/2022,C and D,26.4208073728,-81.9032459893
163,10/17/2022,C and D,26.4321917549,-81.9152148104
164,10/23/2022,Dirty Sand Soil,26.4354967,-81.9195222
165,11/26/2022,C and D,26.4337360668,-81.9172485376
166,12/18/2022,C and D,26.4381765202,-81.9235275966
167,10/21/2022,C and D,26.430520372,-81.913312202
168,03/29/2023,C and D,26.4045601851,-81.8899259717
169,12/15/2022,C and D,26.4587020165,-81.9416657486
170,10/23/2022,Clean Sand Soil,26.4372871,-81.9219943
171,03/18/2023,C and D,26.4182624,-81.9021348
172,10/13/2022,Dirty Sand Soil,26.4489475,-81.9433765
173,10/31/2022,C and D,26.4185572,-81.9021046
174,10/31/2022,C and D,26.4191797186,-81.9023738956
175,02/07/2023,C and D,26.4317917312,-81.9147675858
176,10/22/2022,Dirty Sand Soil,26.4239208,-81.9052935
177,02/26/2023,C and D,26.4058945,-81.8947052
178,10/14/2022,C and D,26.4155968465,-81.900984468
179,02/09/2023,C and D,26.4379790911,-81.9229740055
180,12/07/2022,C and D,26.4602191,-81.9402195
181,12/12/2022,C and D,26.4614713,-81.9522269
182,01/04/2023,C and D,26.4598393876,-81.9467610537
183,11/28/2022,C and D,26.4270615,-81.9098159
184,10/25/2022,Dirty Sand Soil,26.4096440608,-81.8984979764
185,11/05/2022,C and D,26.434402,-81.9182191
186,11/19/2022,C and D,26.4653924921,-81.9552977843
187,10/23/2022,Dirty Sand Soil,26.4304145,-81.913242
188,01/16/2023,C and D,26.4578399115,-81.9403475336
189,01/11/2023,C and D,26.4589642036,-81.9462141994
190,10/14/2022,C and D,26.4508800614,-81.9488271933
191,11/02/2022,C and D,26.4256288,-81.9080207
192,11/26/2022,Dirty Sand Soil,26.4464908,-81.9381177
193,10/07/2022,C and D,26.4608949129,-81.9538119871
194,02/03/2023,C and D,26.4599736594,-81.949178232
195,02/09/2023,C and D,26.4381372,-81.9230773
196,10/31/2022,C and D,26.4283221022,-81.9110381238
197,11/30/2022,C and D,26.437044,-81.9218843
198,10/30/2022,C and D,26.4274684887,-81.9103154792
199,11/14/2022,C and D,26.4502326303,-81.9471251915
200,02/08/2023,Dirty Sand Soil,26.4318372,-81.9148248
201,12/02/2022,C and D,26.4631459189,-81.9532788325
202,11/30/2022,C and D,26.4046254,-81.8861124
203,11/09/2022,C and D,26.4255196,-81.9080391
204,10/09/2022,Vegetation,26.4065582224,-81.8957719364
205,11/01/2022,C and D,26.4286643232,-81.9114906028
206,12/01/2022,C and D,26.4640376533,-81.9529808412
207,01/13/2023,C and D,26.4355647156,-81.9195793685
208,11/27/2022,Dirty Sand Soil,26.4384427,-81.9239394
209,11/12/2022,C and D,26.4392885473,-81.9252545201
210,10/17/2022,C and D,26.4311943981,-81.9141008186
211,11/30/2022,C and D,26.4425105928,-81.9310532884
212,11/11/2022,C and D,26.430853,-81.9136833
213,11/12/2022,C and D,26.4255241387,-81.9079448579
214,11/05/2022,C and D,26.4478475,-81.9407558
215,10/27/2022,C and D,26.4061532918,-81.894795995
216,10/19/2022,Clean Sand Soil,26.4525445,-81.9546187
217,12/04/2022,C and D,26.4045212,-81.8910324
218,03/11/2023,C and D,26.4060483,-81.8948097
219,12/11/2022,C and D,26.4219883,-81.9042154
220,12/15/2022,C and D,26.4643011,-81.9542133
221,02/09/2023,Concrete to FDS,26.4478298,-81.9406019
222,12/15/2022,Dirty Sand Soil,26.4347581,-81.9187463
223,12/02/2022,C and D,26.435897,-81.920144
224,11/22/2022,C and D,26.4045742,-81.890824
225,10/22/2022,C and D,26.4254789217,-81.9077871009
226,01/27/2023,C and D,26.4597324299,-81.9464535418
227,11/06/2022,C and D,26.4325836,-81.915829
228,11/22/2022,C and D,26.4289089,-81.9116744
229,11/30/2022,Vegetation,26.4255960798,-81.9079690241
230,10/31/2022,Dirty Sand Soil,26.4116298,-81.8993771
231,11/01/2022,C and D,26.4111386799,-81.8993539364
232,11/11/2022,C and D,26.4307812,-81.9136312
233,10/13/2022,C and D,26.4155550212,-81.9008633518
234,03/10/2023,C and D,26.4050925,-81.8934036
235,12/07/2022,C and D,26.4581945,-81.9395402
236,10/30/2022,C and D,26.4505934,-81.9482339
237,12/15/2022,C and D,26.4642979,-81.9542288
238,10/29/2022,C and D,26.4113092516,-81.8994085864
239,11/08/2022,C and D,26.4417258418,-81.929477589
240,01/24/2023,C and D,26.459817034,-81.9466955528
241,12/07/2022,C and D,26.4337398,-81.9174055
242,11/21/2022,C and D,26.4044169,-81.8865295
243,01/22/2023,C and D,26.41713,-81.9015934
244,10/28/2022,HHW to DMS,26.459308,-81.9457062
245,11/11/2022,C and D,26.4098108093,-81.8987207805
246,11/28/2022,C and D,26.4212443,-81.9035947
247,10/30/2022,Dirty Sand Soil,26.4232359,-81.9045982
248,11/30/2022,C and D,26.4647137,-81.9505501
249,01/11/2023,C and D,26.4507611,-81.9486867
250,10/24/2022,C and D,26.4275580738,-81.9102969301
251,10/31/2022,C and D,26.4498869,-81.9464924
252,10/15/2022,C and D,26.4510845253,-81.9495145977
253,10/14/2022,C and D,26.4156132572,-81.9011073693
254,11/11/2022,C and D,26.4306505,-81.9135004
255,10/31/2022,Dirty Sand Soil,26.4227851,-81.9043039
256,02/10/2023,C and D,26.4604378,-81.9463044
257,10/31/2022,Dirty Sand Soil,26.4115635,-81.899389
258,11/16/2022,C and D,26.4410468064,-81.9281861621
259,01/18/2023,C and D,26.4379359,-81.9230283
260,10/30/2022,C and D,26.4193485864,-81.9023895264
261,10/15/2022,C and D,26.4247809893,-81.9061310023
262,10/25/2022,Dirty Sand Soil,26.4454528,-81.9363652
263,11/11/2022,Clean Sand Soil,26.4523356,-81.9552827
264,10/14/2022,C and D,26.4489668742,-81.9429208892
265,12/11/2022,C and D,26.420223,-81.9030404
266,01/06/2023,C and D,26.4477336417,-81.9400433565
267,12/09/2022,Vegetation,26.4067637,-81.8959811
268,11/12/2022,C and D,26.4052135,-81.8933303
269,11/13/2022,C and D,26.4105041,-81.8990244
270,12/11/2022,C and D,26.4216127,-81.904063
271,01/22/2023,C and D,26.4600997728,-81.9470712933
272,12/03/2022,C and D,26.4283824,-81.9112994
273,11/19/2022,C and D,26.4386535098,-81.9238901271
274,10/28/2022,Clean Sand Soil,26.4526972,-81.9552853
275,01/18/2023,Dirty Sand Soil,26.4464056,-81.9380408
276,01/04/2023,Dirty Sand Soil,26.4379509,-81.9226552
277,10/11/2022,C and D,26.4290105,-81.9117762
278,10/28/2022,C and D,26.4632834634,-81.9486609847
279,11/08/2022,C and D,26.4076533,-81.8966906
280,11/30/2022,C and D,26.461265475,-81.9485404307
281,10/09/2022,Vegetation,26.4314264,-81.9144039
282,11/30/2022,C and D,26.4612080623,-81.9522350282
283,11/12/2022,C and D,26.4388707,-81.9244112
284,11/01/2022,Dirty Sand Soil,26.418199,-81.9018771
285,12/01/2022,C and D,26.4241779456,-81.9057093468
286,02/08/2023,C and D,26.4168408,-81.9014757
287,02/03/2023,Dirty Sand Soil,26.4319504,-81.9148722
288,11/14/2022,C and D,26.4066533558,-81.8956172001
289,11/06/2022,C and D,26.4345691,-81.9184833
290,11/12/2022,C and D,26.4387688274,-81.9242885896
291,02/07/2023,C and D,26.4320218144,-81.9150446915
292,12/08/2022,C and D,26.4341768017,-81.9176054467
293,12/07/2022,C and D,26.4602567,-81.9402201
294,11/13/2022,C and D,26.4206899846,-81.9033651634
295,11/09/2022,C and D,26.4602138,-81.9472437
296,11/05/2022,C and D,26.4045370929,-81.8908323907
297,03/13/2023,C and D,26.4121095755,-81.8996020586
298,11/06/2022,C and D,26.4220087,-81.9040546
299,12/02/2022,C and D,26.4255879494,-81.9079698623
300,12/12/2022,Vegetation,26.4272617,-81.9099222
301,12/11/2022,C and D,26.4045021,-81.8867994
302,11/06/2022,C and D,26.4062943044,-81.8950161522
303,01/22/2023,C and D,26.4581493895,-81.9439045576
304,10/28/2022,C and D,26.4213696728,-81.9036926609
305,11/20/2022,C and D,26.4288295,-81.9118015
306,11/08/2022,C and D,26.4431308536,-81.9320755453
307,12/18/2022,C and D,26.4596960411,-81.9464624803
308,11/09/2022,Dirty Sand Soil,26.414619,-81.900674
