WKT,fid,osmid,y,x,street_count,highway,ref
"POINT (-81.901581 26.417219)",82,98272245,26.417219,-81.901581,3,,
"POINT (-81.899579 26.411833)",83,98272259,26.411833,-81.899579,3,,
"POINT (-81.899549 26.411751)",84,98272261,26.411751,-81.899549,3,,
"POINT (-81.896228 26.407141)",85,98272281,26.407141,-81.896228,3,,
"POINT (-81.896134 26.40704)",86,98272282,26.40704,-81.896134,3,,
"POINT (-81.894552 26.405797)",87,98272296,26.405797,-81.894552,3,,
"POINT (-81.892473 26.40486)",88,98272308,26.40486,-81.892473,3,,
"POINT (-81.890671 26.404487)",89,98272332,26.404487,-81.890671,3,,
"POINT (-81.889438 26.404434)",90,98272355,26.404434,-81.889438,3,,
"POINT (-81.885915 26.40472)",91,98272390,26.40472,-81.885915,3,,
"POINT (-81.891569 26.405518)",92,98274443,26.405518,-81.891569,3,,
"POINT (-81.891372 26.405947)",93,98274447,26.405947,-81.891372,1,turning_loop,
"POINT (-81.9014988 26.4205854)",94,98275373,26.4205854,-81.9014988,4,,
"POINT (-81.900562 26.421297)",95,98275382,26.421297,-81.900562,3,,
"POINT (-81.899677 26.421937)",96,98275387,26.421937,-81.899677,3,,
"POINT (-81.889452 26.405301)",97,98285619,26.405301,-81.889452,3,,
"POINT (-81.889455 26.406152)",98,98285620,26.406152,-81.889455,3,,
"POINT (-81.912105 26.4316748)",99,98286233,26.4316748,-81.912105,3,,
"POINT (-81.893067 26.406002)",100,98291437,26.406002,-81.893067,3,,
"POINT (-81.890333 26.40627)",101,98291458,26.40627,-81.890333,3,,
"POINT (-81.89514 26.419287)",102,98313024,26.419287,-81.89514,1,,
"POINT (-81.895124 26.40765)",103,98315980,26.40765,-81.895124,3,,
"POINT (-81.8944768 26.4080993)",104,98315994,26.4080993,-81.8944768,1,,
"POINT (-81.893942 26.406458)",105,98315998,26.406458,-81.893942,3,,
"POINT (-81.894066 26.406527)",106,98316007,26.406527,-81.894066,3,,
"POINT (-81.8987379 26.4200845)",107,98316112,26.4200845,-81.8987379,1,turning_loop,
"POINT (-81.90816 26.429341)",108,98317275,26.429341,-81.90816,3,,
"POINT (-81.900298 26.424095)",109,98329901,26.424095,-81.900298,1,,
"POINT (-81.912099 26.430994)",110,98379275,26.430994,-81.912099,3,,
"POINT (-81.890568 26.405328)",111,98388518,26.405328,-81.890568,4,,
"POINT (-81.914733 26.436666)",112,98397814,26.436666,-81.914733,1,,
"POINT (-81.9121318 26.4328927)",113,98400774,26.4328927,-81.9121318,3,,
"POINT (-81.912123 26.433071)",114,98400778,26.433071,-81.912123,1,,
"POINT (-81.9060979 26.4233454)",115,98416001,26.4233454,-81.9060979,1,,
"POINT (-81.905671 26.425485)",116,98420994,26.425485,-81.905671,3,,
"POINT (-81.910223 26.430401)",117,98421825,26.430401,-81.910223,3,,
"POINT (-81.908923 26.430985)",118,98421833,26.430985,-81.908923,3,,
"POINT (-81.9051523 26.4240411)",119,98428988,26.4240411,-81.9051523,3,,
"POINT (-81.902807 26.425754)",120,98428992,26.425754,-81.902807,1,,
"POINT (-81.90914 26.430056)",121,98431359,26.430056,-81.90914,1,,
"POINT (-81.908382 26.425036)",122,98440048,26.425036,-81.908382,1,,
"POINT (-81.909094 26.43224)",123,98490148,26.43224,-81.909094,3,,
"POINT (-81.908946 26.432149)",124,98490196,26.432149,-81.908946,3,,
"POINT (-81.908011 26.432311)",125,98490217,26.432311,-81.908011,1,,
"POINT (-81.9009614 26.4119186)",126,98504727,26.4119186,-81.9009614,3,,
"POINT (-81.9009407 26.411843)",127,98504747,26.411843,-81.9009407,3,,
"POINT (-81.9126202 26.4328824)",128,98516965,26.4328824,-81.9126202,1,,
"POINT (-81.8999483 26.4200814)",129,98538693,26.4200814,-81.8999483,1,turning_loop,
"POINT (-81.91865 26.434986)",130,98550561,26.434986,-81.91865,3,,
"POINT (-81.915656 26.437147)",131,98558374,26.437147,-81.915656,1,,
"POINT (-81.907998 26.429324)",132,98560201,26.429324,-81.907998,3,,
"POINT (-81.905493 26.425469)",133,98565023,26.425469,-81.905493,3,,
"POINT (-81.8963966 26.4202244)",134,98580739,26.4202244,-81.8963966,1,turning_loop,
"POINT (-81.906199 26.422994)",135,1335983161,26.422994,-81.906199,1,,
"POINT (-81.9052548 26.4231484)",136,1335983164,26.4231484,-81.9052548,3,,
"POINT (-81.9059811 26.4228021)",137,1335983167,26.4228021,-81.9059811,1,,
"POINT (-81.905652 26.4228343)",138,1335983169,26.4228343,-81.905652,3,,
"POINT (-81.9048436 26.4231214)",139,1335983175,26.4231214,-81.9048436,3,,
"POINT (-81.9053602 26.4232705)",140,1335983177,26.4232705,-81.9053602,3,,
"POINT (-81.9057624 26.4229646)",141,1335983179,26.4229646,-81.9057624,3,,
"POINT (-81.9023122 26.4159553)",142,1387634859,26.4159553,-81.9023122,1,,
"POINT (-81.9015149 26.4162967)",143,1387634866,26.4162967,-81.9015149,3,,
"POINT (-81.9012646 26.4163693)",144,1387634867,26.4163693,-81.9012646,4,,
"POINT (-81.9017534 26.4170233)",145,1387634872,26.4170233,-81.9017534,3,,
"POINT (-81.9025344 26.4170254)",146,1387634873,26.4170254,-81.9025344,1,,
"POINT (-81.901522 26.4170568)",147,1387634874,26.4170568,-81.901522,3,,
"POINT (-81.9057548 26.4225552)",148,1387634887,26.4225552,-81.9057548,1,,
"POINT (-81.9057857 26.4227285)",149,1387634893,26.4227285,-81.9057857,1,,
"POINT (-81.9055801 26.4228912)",150,1387634904,26.4228912,-81.9055801,3,,
"POINT (-81.904094 26.4219942)",151,1387637810,26.4219942,-81.904094,3,,
"POINT (-81.9038304 26.4221175)",152,1387637811,26.4221175,-81.9038304,3,,
"POINT (-81.904142 26.4225292)",153,1390578781,26.4225292,-81.904142,3,,
"POINT (-81.9045054 26.4230508)",154,1390578786,26.4230508,-81.9045054,3,,
"POINT (-81.9043382 26.4232349)",155,1390578792,26.4232349,-81.9043382,2,,
"POINT (-81.9045607 26.4234512)",156,1390578798,26.4234512,-81.9045607,3,,
"POINT (-81.9046956 26.4216814)",157,1390589090,26.4216814,-81.9046956,3,,
"POINT (-81.9049483 26.4220778)",158,1390589102,26.4220778,-81.9049483,3,,
"POINT (-81.9044404 26.4221855)",159,1390589103,26.4221855,-81.9044404,3,,
"POINT (-81.9042837 26.4222778)",160,1390589104,26.4222778,-81.9042837,3,,
"POINT (-81.9126647 26.4317455)",161,1412670487,26.4317455,-81.9126647,1,,
"POINT (-81.8769002 26.4050248)",162,1620821904,26.4050248,-81.8769002,3,,
"POINT (-81.8753792 26.4037721)",163,1621351072,26.4037721,-81.8753792,3,,
"POINT (-81.8715112 26.4023697)",164,1623448481,26.4023697,-81.8715112,3,,
"POINT (-81.8704571 26.4013486)",165,1623448491,26.4013486,-81.8704571,3,,
"POINT (-81.8719609 26.4019283)",166,1623448499,26.4019283,-81.8719609,3,,
"POINT (-81.9059537 26.4245528)",167,1769035619,26.4245528,-81.9059537,3,,
"POINT (-81.9059228 26.424518)",168,1769035621,26.424518,-81.9059228,3,,
"POINT (-81.8775861 26.4044233)",169,1775637503,26.4044233,-81.8775861,1,,
"POINT (-81.8769069 26.4053612)",170,1775637523,26.4053612,-81.8769069,3,,
"POINT (-81.8762313 26.4058121)",171,1775637525,26.4058121,-81.8762313,3,,
"POINT (-81.8769378 26.4045478)",172,1775637529,26.4045478,-81.8769378,3,,
"POINT (-81.8754457 26.4060161)",173,1775637532,26.4060161,-81.8754457,1,,
"POINT (-81.8772536 26.404916)",174,1775637536,26.404916,-81.8772536,3,,
"POINT (-81.8770491 26.4049792)",175,1775637539,26.4049792,-81.8770491,3,,
"POINT (-81.8769731 26.4058445)",176,1775637585,26.4058445,-81.8769731,1,,
"POINT (-81.8768768 26.4054304)",177,1775637594,26.4054304,-81.8768768,3,,
"POINT (-81.8773474 26.4060713)",178,1775637604,26.4060713,-81.8773474,1,,
"POINT (-81.8772876 26.4055816)",179,1775637606,26.4055816,-81.8772876,3,,
"POINT (-81.8764461 26.4062251)",180,1775637643,26.4062251,-81.8764461,1,,
"POINT (-81.8771382 26.4054462)",181,1775637647,26.4054462,-81.8771382,3,,
"POINT (-81.8763925 26.4047429)",182,1775637661,26.4047429,-81.8763925,3,,
"POINT (-81.8771057 26.4055201)",183,1775637671,26.4055201,-81.8771057,4,,
"POINT (-81.8770684 26.4058079)",184,1775637673,26.4058079,-81.8770684,3,,
"POINT (-81.8753733 26.4058695)",185,1775637700,26.4058695,-81.8753733,1,,
"POINT (-81.876059 26.405792)",186,1775637709,26.405792,-81.876059,4,,
"POINT (-81.8762664 26.4061602)",187,1775637710,26.4061602,-81.8762664,1,,
"POINT (-81.8769273 26.4051684)",188,1775637729,26.4051684,-81.8769273,3,,
"POINT (-81.8758307 26.4043155)",189,1775637748,26.4043155,-81.8758307,3,,
"POINT (-81.87625 26.4060762)",190,1775637759,26.4060762,-81.87625,3,,
"POINT (-81.8761959 26.4057813)",191,1775637768,26.4057813,-81.8761959,3,,
"POINT (-81.8771247 26.4058719)",192,1775637793,26.4058719,-81.8771247,3,,
"POINT (-81.8772163 26.404928)",193,1775637803,26.404928,-81.8772163,3,,
"POINT (-81.8774572 26.4048642)",194,1775637817,26.4048642,-81.8774572,3,,
"POINT (-81.8910915 26.4106046)",195,1775763042,26.4106046,-81.8910915,3,,
"POINT (-81.8936589 26.4119013)",196,1775763043,26.4119013,-81.8936589,3,,
"POINT (-81.8940607 26.4131101)",197,1775763045,26.4131101,-81.8940607,1,,
"POINT (-81.8921032 26.4110555)",198,1775763047,26.4110555,-81.8921032,3,,
"POINT (-81.8936911 26.4120526)",199,1775763066,26.4120526,-81.8936911,1,,
