Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
330009-22334-39467,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45821353,-81.94171932,11/30/2022,Wakehatchee Park DMS,59,
330009-22320-43944,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4613918,-81.953803,11/16/2022,Wakehatchee Park DMS,50,
330009-22323-53856,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4588384,-81.9395167,11/19/2022,Wakehatchee Park DMS,63,
330009-22325-33839,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4588256,-81.9425835,11/21/2022,Wakehatchee Park DMS,63,
330009-22326-28513,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,C and D,26.4586858,-81.9416481,11/22/2022,Wakehatchee Park DMS,59,
330007-22334-32297,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.4632782,-81.950677,11/30/2022,Wakehatchee Park DMS,62,
330009-22333-25071,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46201042,-81.95136339,11/29/2022,Wakehatchee Park DMS,59,
330009-22334-24012,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46006385,-81.94159035,11/30/2022,Wakehatchee Park DMS,59,
330012-22320-24472,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4613305,-81.9537655,11/16/2022,Wakehatchee Park DMS,58,
330012-22323-43128,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4596045,-81.9403428,11/19/2022,Wakehatchee Park DMS,54,
330012-22324-24236,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.4591462,-81.9424896,11/20/2022,Wakehatchee Park DMS,58,
330012-22320-48344,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4661588,-81.9556495,11/16/2022,Wakehatchee Park DMS,50,
330012-22320-60741,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4664138,-81.9558584,11/16/2022,Wakehatchee Park DMS,54,
330012-22322-24397,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,C and D,26.4619876,-81.9513753,11/18/2022,Wakehatchee Park DMS,58,
330009-22324-56358,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.4597538,-81.942582,11/20/2022,Wakehatchee Park DMS,55,
330010-22333-61318,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46287408,-81.95407188,11/29/2022,Wakehatchee Park DMS,44,
330010-22334-23226,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46410716,-81.95403297,11/30/2022,Wakehatchee Park DMS,60,
330012-22332-24307,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4589818,-81.9419497,11/28/2022,Wakehatchee Park DMS,58,
330012-22332-27582,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4594736,-81.9417117,11/28/2022,Wakehatchee Park DMS,58,
330012-22332-44831,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4607318,-81.9482069,11/28/2022,Wakehatchee Park DMS,58,
330012-22332-53336,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4642177,-81.9469207,11/28/2022,Wakehatchee Park DMS,54,
330012-22333-25035,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46189018,-81.95133205,11/29/2022,Wakehatchee Park DMS,54,
330012-22333-43096,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46424692,-81.94687438,11/29/2022,Wakehatchee Park DMS,58,
330012-22334-28187,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45891779,-81.94823409,11/30/2022,Wakehatchee Park DMS,54,
