Load_Date,fldDebrisC,Pile_Latit,Pile_Longi
10/5/2022,Vegetation,26.51174522,-81.95717321
10/5/2022,C and D,26.4965576,-81.9418105
10/5/2022,C and D,26.4964833,-81.9418159
10/5/2022,C and D,26.4964787,-81.9417404
10/5/2022,Vegetation,26.5118018,-81.95817525
10/5/2022,C and D,26.46272536,-81.95405632
10/5/2022,C and D,26.4614781,-81.95371785
10/5/2022,C and D,26.4635926,-81.947789
10/5/2022,Vegetation,26.51181336,-81.95722786
10/5/2022,C and D,26.46488119,-81.95085888
10/5/2022,Vegetation,26.51186131,-81.95810552
10/5/2022,C and D,26.46478337,-81.95075175
10/5/2022,C and D,26.46478953,-81.95075849
10/5/2022,C and D,26.46233713,-81.95110911
10/5/2022,Vegetation,26.5080598,-81.956409
10/5/2022,C and D,26.4643664,-81.9544644
10/5/2022,C and D,26.46282113,-81.95414147
10/5/2022,Vegetation,26.5066038,-81.9585589
10/5/2022,Vegetation,26.51172967,-81.95711877
10/5/2022,C and D,26.4964234,-81.9419899
10/5/2022,C and D,26.46324757,-81.95410017
10/5/2022,Vegetation,26.51186291,-81.95809064
10/5/2022,C and D,26.4643487,-81.9543025
10/5/2022,C and D,26.4643514,-81.9543441
10/5/2022,C and D,26.46267752,-81.95405967
10/5/2022,Vegetation,26.51172345,-81.95843465
10/5/2022,C and D,26.464191,-81.9541358
10/5/2022,Vegetation,26.51182818,-81.95742512
10/5/2022,Vegetation,26.51181897,-81.95745241
10/5/2022,Vegetation,26.51182578,-81.95746242
10/5/2022,C and D,26.46244258,-81.95115615
10/5/2022,Vegetation,26.5082163,-81.9563156
10/5/2022,C and D,26.4623864,-81.9539732
10/5/2022,C and D,26.4963441,-81.9420786
10/5/2022,Vegetation,26.506524,-81.9585638
10/5/2022,C and D,26.4964847,-81.9418603
10/5/2022,C and D,26.4963851,-81.9420848
10/5/2022,C and D,26.4623828,-81.9539731
10/5/2022,C and D,26.4637824,-81.9530774
10/5/2022,Vegetation,26.4959484,-81.9432477
10/5/2022,C and D,26.46142053,-81.95391291
10/5/2022,C and D,26.46148385,-81.9537301
10/5/2022,C and D,26.4639601,-81.9541217
10/5/2022,Vegetation,26.5119912,-81.95750976
10/5/2022,Vegetation,26.51187695,-81.95752261
10/5/2022,Vegetation,26.51184018,-81.95751228
10/5/2022,C and D,26.46289244,-81.9540214
10/5/2022,C and D,26.4635401,-81.9531913
10/5/2022,C and D,26.4625821,-81.9486346
10/5/2022,Vegetation,26.51185403,-81.95808832
10/5/2022,Vegetation,26.5118598,-81.95751655
10/5/2022,C and D,26.4633334,-81.95412831
10/5/2022,C and D,26.4965101,-81.9418454
10/5/2022,C and D,26.4638431,-81.9540729
10/5/2022,C and D,26.46420395,-81.95060495
10/5/2022,C and D,26.4963603,-81.9420407
10/5/2022,C and D,26.4966897,-81.941615
10/5/2022,C and D,26.46455151,-81.95056538
10/5/2022,C and D,26.4626395,-81.9486425
10/5/2022,C and D,26.4639541,-81.9541201
10/5/2022,C and D,26.46378351,-81.95077347
10/5/2022,C and D,26.4964546,-81.9419414
10/5/2022,C and D,26.46338271,-81.95424536
10/5/2022,C and D,26.46417899,-81.95064362
10/5/2022,Vegetation,26.51187417,-81.95751873
10/5/2022,Vegetation,26.51168983,-81.95705966
10/5/2022,Vegetation,26.5066924,-81.9585741
10/5/2022,Vegetation,26.51182809,-81.95752435
10/5/2022,C and D,26.46424099,-81.95071307
10/5/2022,C and D,26.46418494,-81.95063583
10/5/2022,Vegetation,26.5118561,-81.95797886
10/5/2022,C and D,26.4642029,-81.9541428
10/5/2022,Vegetation,26.4968382,-81.9415216
10/5/2022,Vegetation,26.51198469,-81.95744982
10/5/2022,Vegetation,26.51182828,-81.95708114
10/5/2022,C and D,26.46482797,-81.95067941
10/5/2022,C and D,26.4636327,-81.9530807
10/5/2022,C and D,26.46334026,-81.95425509
10/5/2022,Vegetation,26.5118758,-81.95742385
10/5/2022,Vegetation,26.51184634,-81.95725722
10/5/2022,C and D,26.46441724,-81.95054508
10/5/2022,Vegetation,26.5081778,-81.9563441
10/5/2022,C and D,26.4966795,-81.9416103
10/5/2022,Vegetation,26.51199622,-81.95753311
10/5/2022,Vegetation,26.5065634,-81.958504
10/5/2022,C and D,26.46478309,-81.9506746
10/5/2022,C and D,26.46481395,-81.95067739
10/5/2022,C and D,26.4642927,-81.9541742
10/5/2022,Vegetation,26.506662,-81.9585817
10/5/2022,C and D,26.4631786,-81.95413914
10/5/2022,C and D,26.4622649,-81.9540223
10/5/2022,Vegetation,26.51166178,-81.95853687
10/5/2022,C and D,26.46460126,-81.95045255
10/5/2022,Vegetation,26.506457,-81.9585574
10/5/2022,Vegetation,26.51186787,-81.95788776
10/5/2022,Vegetation,26.51181358,-81.95792339
10/5/2022,C and D,26.46163857,-81.95375379
10/5/2022,C and D,26.4647635,-81.95056297
10/5/2022,C and D,26.464867,-81.95065385
10/5/2022,C and D,26.46333142,-81.95419653
10/5/2022,C and D,26.463703,-81.9541924
10/5/2022,C and D,26.4622711,-81.9540339
10/5/2022,Vegetation,26.51183793,-81.95790503
10/6/2022,C and D,26.4970641,-81.9408116
10/6/2022,Vegetation,26.5216332,-81.9650321
10/6/2022,Vegetation,26.5086607,-81.9666065
10/6/2022,Vegetation,26.508707,-81.9666785
10/6/2022,C and D,26.4638086,-81.9541721
10/6/2022,Vegetation,26.5202663,-81.9596245
10/6/2022,C and D,26.4970096,-81.9400184
10/6/2022,Vegetation,26.52025219,-81.95907197
10/6/2022,C and D,26.5184158,-81.9660688
10/6/2022,C and D,26.4715489,-81.9557179
10/6/2022,C and D,26.4970792,-81.9400406
10/6/2022,Vegetation,26.5185052,-81.9648595
10/6/2022,C and D,26.4967882,-81.9410108
10/6/2022,Vegetation,26.5087532,-81.9644944
10/6/2022,C and D,26.513234,-81.9521745
10/6/2022,C and D,26.4970254,-81.9411009
10/6/2022,Vegetation,26.52027532,-81.95900313
10/6/2022,Vegetation,26.52031285,-81.9587794
10/6/2022,Vegetation,26.51993363,-81.95939474
10/6/2022,Vegetation,26.51191114,-81.95766304
10/6/2022,C and D,26.4970133,-81.9400838
10/6/2022,Vegetation,26.5183293,-81.9643602
10/6/2022,C and D,26.4638864,-81.9541364
10/6/2022,C and D,26.4637319,-81.9541866
10/6/2022,Vegetation,26.519995,-81.95939983
10/6/2022,Vegetation,26.52026271,-81.95901926
10/6/2022,Vegetation,26.5173436,-81.9654103
10/6/2022,Vegetation,26.5210403,-81.9647713
10/6/2022,Vegetation,26.52027272,-81.95941105
10/6/2022,Vegetation,26.52028161,-81.95939594
10/6/2022,Vegetation,26.52031625,-81.95877571
10/6/2022,Vegetation,26.52029197,-81.95882924
10/6/2022,Vegetation,26.52022812,-81.95896079
10/6/2022,Vegetation,26.5126617,-81.9530569
10/6/2022,C and D,26.4966434,-81.939849
10/6/2022,Vegetation,26.5189582,-81.9510572
10/6/2022,Vegetation,26.5086769,-81.966677
10/6/2022,Vegetation,26.5185252,-81.9509646
10/6/2022,Vegetation,26.5086562,-81.967176
10/6/2022,Vegetation,26.5198877,-81.966653
10/6/2022,C and D,26.4658847,-81.9526674
10/6/2022,Vegetation,26.5184736,-81.951047
10/6/2022,Vegetation,26.51189456,-81.95767596
10/6/2022,Vegetation,26.5207622,-81.9646259
10/6/2022,Vegetation,26.517603,-81.965205
10/6/2022,C and D,26.4969926,-81.942446
10/6/2022,C and D,26.4965461,-81.9424604
10/6/2022,Vegetation,26.51137304,-81.95987641
10/6/2022,Vegetation,26.5184722,-81.9510437
10/6/2022,Vegetation,26.5115245,-81.95912192
10/6/2022,Vegetation,26.5183066,-81.9643318
10/6/2022,Vegetation,26.51157757,-81.95905837
10/6/2022,C and D,26.4650613,-81.9551393
10/6/2022,Vegetation,26.5126345,-81.9527768
10/6/2022,Vegetation,26.51157404,-81.95863141
10/6/2022,C and D,26.5184707,-81.9502132
10/6/2022,Vegetation,26.5132324,-81.952144
10/6/2022,Vegetation,26.51187964,-81.95751583
10/6/2022,Vegetation,26.5184718,-81.9510431
10/6/2022,C and D,26.4724122,-81.9554804
10/6/2022,C and D,26.4648967,-81.9551221
10/6/2022,C and D,26.46352906,-81.95309709
10/6/2022,Vegetation,26.52329672,-81.95891209
10/6/2022,Vegetation,26.51157665,-81.95905946
10/6/2022,Vegetation,26.51133908,-81.95954802
10/6/2022,C and D,26.5126613,-81.9520489
10/6/2022,Vegetation,26.5197012,-81.9663548
10/6/2022,Vegetation,26.51157911,-81.95863714
10/6/2022,Vegetation,26.5086577,-81.9667399
10/6/2022,Vegetation,26.5086797,-81.9667798
10/6/2022,C and D,26.5185051,-81.9502277
10/6/2022,Vegetation,26.51145704,-81.95950541
10/6/2022,Vegetation,26.5203013,-81.9597113
10/6/2022,C and D,26.4970707,-81.9401791
10/6/2022,C and D,26.46126311,-81.95387957
10/6/2022,Vegetation,26.52340548,-81.9589982
10/6/2022,C and D,26.46365467,-81.95310896
10/6/2022,Vegetation,26.5180064,-81.9646842
10/6/2022,C and D,26.4967188,-81.9398107
10/6/2022,C and D,26.5189909,-81.9501407
10/6/2022,C and D,26.4977923,-81.9421101
10/6/2022,Vegetation,26.52360421,-81.95892949
10/6/2022,C and D,26.5132792,-81.9530489
10/6/2022,Vegetation,26.51158044,-81.95863451
10/6/2022,C and D,26.46504133,-81.9509453
10/6/2022,Vegetation,26.5145026,-81.96378089
10/6/2022,C and D,26.519466,-81.9502162
10/6/2022,C and D,26.5195435,-81.95111
10/6/2022,Vegetation,26.52355071,-81.95891352
10/6/2022,Vegetation,26.5131969,-81.9519758
10/6/2022,Vegetation,26.52360252,-81.95892635
10/6/2022,C and D,26.4968085,-81.9398035
10/6/2022,C and D,26.4970074,-81.9400318
10/6/2022,C and D,26.46491255,-81.95097936
10/6/2022,C and D,26.4968259,-81.9414151
10/6/2022,C and D,26.5188979,-81.9501976
10/6/2022,Vegetation,26.51525876,-81.96376702
10/6/2022,Vegetation,26.5188357,-81.9655773
10/6/2022,C and D,26.4602055,-81.9476812
10/6/2022,C and D,26.4970138,-81.9401071
10/6/2022,C and D,26.4970913,-81.9407918
10/6/2022,C and D,26.5132928,-81.9529662
10/6/2022,Vegetation,26.5126568,-81.9531923
10/6/2022,Vegetation,26.5113241,-81.96001227
10/6/2022,C and D,26.4645242,-81.9533817
10/6/2022,C and D,26.4970597,-81.9406055
10/6/2022,Vegetation,26.5215698,-81.9649503
10/6/2022,C and D,26.4970103,-81.9409816
10/6/2022,C and D,26.4963509,-81.9418663
10/6/2022,Vegetation,26.52131833,-81.9587783
10/6/2022,Vegetation,26.51176032,-81.95624475
10/6/2022,Vegetation,26.5213188,-81.9650115
10/6/2022,C and D,26.4967378,-81.9398855
10/6/2022,Vegetation,26.52120897,-81.95881523
10/6/2022,C and D,26.4609574,-81.9493346
10/6/2022,C and D,26.4970392,-81.9411095
10/6/2022,C and D,26.5132786,-81.9532396
10/6/2022,C and D,26.4644203,-81.954544
10/6/2022,Vegetation,26.52180055,-81.95887353
10/6/2022,C and D,26.4645301,-81.9533444
10/6/2022,C and D,26.4634485,-81.9541902
10/6/2022,Vegetation,26.52110441,-81.95874788
10/6/2022,C and D,26.4964729,-81.9418323
10/6/2022,Vegetation,26.51182116,-81.9577982
10/6/2022,Vegetation,26.5196795,-81.9665748
10/6/2022,C and D,26.4634882,-81.954214
10/6/2022,Vegetation,26.5179258,-81.9647356
10/6/2022,Vegetation,26.52141367,-81.95874076
10/6/2022,Vegetation,26.5194755,-81.9501469
10/6/2022,Vegetation,26.52147623,-81.95878115
10/6/2022,Vegetation,26.51152603,-81.9590859
10/6/2022,C and D,26.4968776,-81.9414381
10/6/2022,C and D,26.4970762,-81.9412479
10/6/2022,Vegetation,26.52184154,-81.95884703
10/6/2022,C and D,26.5184536,-81.9658551
10/6/2022,Vegetation,26.52364739,-81.95906033
10/6/2022,Vegetation,26.51158022,-81.95892087
10/6/2022,Vegetation,26.5132369,-81.9521203
10/6/2022,C and D,26.4967369,-81.939749
10/6/2022,Vegetation,26.520553,-81.9646085
10/6/2022,C and D,26.4968025,-81.9424456
10/6/2022,Vegetation,26.51153549,-81.95911092
10/6/2022,Vegetation,26.5209226,-81.9646314
10/6/2022,Vegetation,26.5087042,-81.9662904
10/6/2022,Vegetation,26.5086715,-81.9669033
10/6/2022,C and D,26.4966449,-81.9416706
10/6/2022,C and D,26.4669007,-81.9546928
10/6/2022,Vegetation,26.5148907,-81.9518981
10/6/2022,Vegetation,26.51197525,-81.95796625
10/6/2022,C and D,26.4970246,-81.9409109
10/6/2022,Vegetation,26.5126515,-81.9528818
10/6/2022,Vegetation,26.5214106,-81.9649079
10/6/2022,Vegetation,26.51386729,-81.96365841
10/6/2022,Vegetation,26.51181836,-81.95718447
10/6/2022,C and D,26.4968096,-81.9413398
10/6/2022,Vegetation,26.5148982,-81.9519175
10/6/2022,C and D,26.45969144,-81.94633702
10/6/2022,Vegetation,26.5213637,-81.9648765
10/6/2022,Vegetation,26.52355154,-81.95892725
10/6/2022,Vegetation,26.51457857,-81.96386836
10/6/2022,C and D,26.496943,-81.9412694
10/6/2022,Vegetation,26.52364974,-81.95905252
10/6/2022,Vegetation,26.5086322,-81.9668244
10/6/2022,C and D,26.46353564,-81.95321754
10/6/2022,C and D,26.478597,-81.9547663
10/6/2022,C and D,26.4639269,-81.9540942
10/6/2022,Vegetation,26.51138209,-81.95962291
10/6/2022,Vegetation,26.51164846,-81.95853756
10/6/2022,Vegetation,26.5086654,-81.9668801
10/6/2022,C and D,26.4969311,-81.9424233
10/6/2022,Vegetation,26.51421914,-81.96372466
10/6/2022,C and D,26.45980456,-81.94638208
10/6/2022,C and D,26.4637986,-81.9541757
10/6/2022,Vegetation,26.5234362,-81.95897944
10/6/2022,Vegetation,26.5086383,-81.966475
10/6/2022,Vegetation,26.51158571,-81.95904197
10/6/2022,C and D,26.4597729,-81.94632844
10/6/2022,C and D,26.4670708,-81.9547791
10/6/2022,C and D,26.4973675,-81.942508
10/6/2022,C and D,26.46223949,-81.95390063
10/6/2022,Vegetation,26.52249378,-81.95883422
10/6/2022,C and D,26.46500568,-81.95224052
10/6/2022,C and D,26.4967146,-81.9397983
10/6/2022,C and D,26.4969878,-81.9413301
10/6/2022,Vegetation,26.51162904,-81.95852649
10/6/2022,Vegetation,26.52221185,-81.95883972
10/6/2022,Vegetation,26.52196789,-81.9588092
10/6/2022,C and D,26.46527096,-81.95136378
10/6/2022,Vegetation,26.51186714,-81.95777658
10/6/2022,Vegetation,26.52298974,-81.95881675
10/6/2022,C and D,26.46337721,-81.95330156
10/6/2022,Vegetation,26.52260039,-81.95874156
10/6/2022,Vegetation,26.5206696,-81.9645833
10/6/2022,Vegetation,26.5212826,-81.964821
