Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
1024911-22321-32938,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.5548356,-81.8669238,11/17/2022,Paige Field Airport DMS,40,
1024911-22321-57523,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.5554576,-81.8678231,11/17/2022,Paige Field Airport DMS,47,
1024911-22323-41783,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.555815,-81.8685271,11/19/2022,Paige Field Airport DMS,50,
1024910-22322-41120,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/18/2022,Vegetation,26.5403947,-81.8623222,11/18/2022,Paige Field Airport DMS,78,
1024910-22324-50474,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5425174,-81.8628695,11/20/2022,Paige Field Airport DMS,70,
1024910-22326-48898,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/22/2022,Vegetation,26.5455134,-81.8640866,11/22/2022,Paige Field Airport DMS,78,
1024911-22320-54857,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,Vegetation,26.5550514,-81.8651583,11/16/2022,Paige Field Airport DMS,43,
1024911-22321-61258,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.5549368,-81.8678072,11/17/2022,Paige Field Airport DMS,40,
1024911-22323-38389,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.5558147,-81.8685916,11/19/2022,Paige Field Airport DMS,54,
1024911-22323-58169,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.553907,-81.8700556,11/19/2022,Paige Field Airport DMS,43,
1024910-22324-46291,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5459203,-81.8579474,11/20/2022,Paige Field Airport DMS,61,
1024910-22333-43211,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,Vegetation,26.6890277,-81.8703749,11/29/2022,Paige Field Airport DMS,65,
1024910-22325-56692,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,Vegetation,26.5445709,-81.8627836,11/21/2022,Paige Field Airport DMS,65,
1024910-22324-31416,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5459588,-81.8593012,11/20/2022,Paige Field Airport DMS,74,
1024910-22324-38827,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.5459469,-81.8585524,11/20/2022,Paige Field Airport DMS,78,
1024911-22321-41384,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,Vegetation,26.554393,-81.866933,11/17/2022,Paige Field Airport DMS,43,
1024911-22323-33988,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,Vegetation,26.5554404,-81.8685932,11/19/2022,Paige Field Airport DMS,50,
1024911-22324-48511,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,Vegetation,26.553096,-81.8693748,11/20/2022,Paige Field Airport DMS,43,
