Load_Date,fldDebrisC,Pile_Latit,Pile_Longi
01/14/2023,Vegetation,26.50411270000,-81.86431550000
01/21/2023,Vegetation,26.47586973490,-81.95459953720
12/12/2022,C and D,26.68907432110,-81.77795022070
12/12/2022,Vegetation,26.51258467600,-81.82742048050
11/10/2022,C and D,26.50009204480,-81.95910736640
11/13/2022,Vegetation,26.63414560000,-81.74437430000
10/07/2022,Vegetation,26.70949550400,-81.74810011470
11/03/2022,Vegetation,26.70523250000,-81.87216980000
11/05/2022,C and D,26.49897460000,-81.95094490000
10/22/2022,C and D,26.42199630000,-81.90409380000
11/16/2022,Vegetation,26.70584611790,-81.86958938570
10/29/2022,Vegetation,26.64677271370,-81.91542880800
10/29/2022,Vegetation,26.58168980000,-81.88748320000
10/29/2022,Vegetation,26.58177750000,-81.88735770000
10/29/2022,Vegetation,26.67645617120,-81.71386327780
02/02/2023,Dirty Sand Soil,26.42183310000,-81.90406290000
02/02/2023,Dirty Sand Soil,26.42454640000,-81.90584480000
11/21/2022,Vegetation,26.66385220000,-81.90181170000
11/29/2022,C and D,26.71478439590,-81.74301635480
10/28/2022,C and D,26.47286430000,-81.84538620000
10/28/2022,Vegetation,26.72571553860,-81.76897768040
11/07/2022,C and D,26.46027577160,-81.94740752480
10/28/2022,Vegetation,26.49938109360,-81.85769697780
10/29/2022,Vegetation,26.65923400000,-82.14481170000
11/28/2022,Vegetation,26.49596810000,-82.07574820000
10/29/2022,Vegetation,26.52961168440,-81.88800685120
10/28/2022,Vegetation,26.53280096690,-81.92058969880
10/30/2022,C and D,26.50205012370,-81.93651404800
11/06/2022,C and D,26.52708804710,-81.93030766130
11/16/2022,C and D,26.48978888520,-81.85711568230
12/15/2022,Compact CD,26.49665678590,-81.91528168330
11/17/2022,C and D,26.68095396600,-81.81698900800
12/05/2022,Vegetation,26.66830670000,-81.87707220000
11/21/2022,Vegetation,26.48271413990,-81.90274843950
10/29/2022,Mulch,26.59388126810,-81.86913005080
10/29/2022,Mulch,26.72435120000,-81.76848620000
10/29/2022,C and D,26.51453056150,-81.99683100360
10/29/2022,Vegetation,26.49476380000,-82.18578730000
10/29/2022,Vegetation,26.68596020000,-81.74902670000
10/16/2022,Dirty Sand Soil,26.33707362700,-81.84778863570
11/07/2022,C and D,26.66548980310,-81.89240107160
11/21/2022,C and D,26.52585840000,-82.08663530000
11/28/2022,C and D,26.66128739620,-81.89719321760
01/13/2023,Vegetation,26.63556840000,-81.74612050000
10/17/2022,C and D,26.43076742680,-81.91363174270
11/09/2022,Vegetation,26.71759000000,-81.82137230000
12/09/2022,Vegetation,26.66564758020,-81.80914092120
01/16/2023,Vegetation,26.63441208660,-81.68814104060
10/21/2022,Vegetation,26.50190366900,-81.86355457650
12/13/2022,C and D,26.67588192970,-81.74388555820
11/07/2022,Vegetation,26.75520450000,-82.26273810000
01/08/2023,Mulch,26.72432760000,-81.76845920000
01/22/2023,Vegetation,26.71690990000,-81.87303480000
01/22/2023,Vegetation,26.71693320000,-81.87299180000
11/22/2022,Vegetation,26.53633540000,-82.09331160000
11/05/2022,Vegetation,26.64593002100,-81.74568153680
11/22/2022,Vegetation,26.53651720000,-82.09289360000
11/06/2022,Vegetation,26.65911763770,-81.73148841560
12/20/2022,C and D,26.50182710000,-82.08535760000
11/07/2022,C and D,26.51674160000,-81.96660760000
03/12/2023,Vegetation,26.54398250000,-82.19688800000
01/15/2023,C and D,26.66916860000,-81.88025270000
01/17/2023,Mulch,26.50399220000,-81.81924550000
10/16/2022,HHW to DMS,26.49495954270,-81.85955027080
10/16/2022,HHW to DMS,26.51232124310,-81.92570856780
10/16/2022,HHW to DMS,26.48909945120,-81.86200524940
10/11/2022,Vegetation,26.48143710400,-81.81708617310
11/19/2022,Vegetation,26.58843630000,-81.84404390000
10/21/2022,Vegetation,26.57807100000,-81.74510050000
11/04/2022,Mulch,26.72434450000,-81.76862560000
10/22/2022,C and D,26.63672680000,-82.12251780000
12/06/2022,C and D,26.61096790000,-81.65274290000
10/26/2022,C and D,26.49747406230,-81.86739491760
02/04/2023,C and D,26.44770220000,-81.94001820000
11/08/2022,Mulch,26.50399010000,-81.81928610000
03/20/2023,Concrete to FDS,26.39440260000,-81.86737470000
01/27/2023,C and D,26.63424630000,-82.04605540000
01/18/2023,Vegetation,26.66308740000,-82.13935440000
12/04/2022,C and D,26.48124676100,-81.83411163270
11/05/2022,Vegetation,26.71252710550,-81.84793250450
12/15/2022,Vegetation,26.65080290000,-82.12510490000
12/14/2022,Compact CD,26.59395510000,-81.86908690000
11/30/2022,C and D,26.66553520000,-81.87663270000
11/16/2022,C and D,26.71916868380,-81.73224127650
11/07/2022,Vegetation,26.73308740000,-81.91201980000
01/26/2023,Compact CD,26.47390690000,-82.16129010000
01/27/2023,Mulch,26.72439470000,-81.76861400000
11/15/2022,Vegetation,26.50852252270,-81.97379604920
12/15/2022,Mulch,26.72439399640,-81.76861393270
12/30/2022,Compact CD,26.52771650000,-81.92024810000
11/15/2022,Vegetation,26.71847470000,-81.85420830000
10/16/2022,Vegetation,26.47453921590,-81.83161179860
03/09/2023,C and D,26.49419740000,-82.07601920000
11/13/2022,Vegetation,26.68435091430,-81.89978978240
11/13/2022,Vegetation,26.68435557720,-81.89900557230
01/18/2023,Vegetation,26.49979790000,-82.08142550000
12/10/2022,Vegetation,26.56067670000,-82.09919570000
11/04/2022,C and D,26.49419280000,-82.08052280000
01/08/2023,Concrete,26.54849031150,-82.19779974690
01/03/2023,Clean Sand Soil,26.33160745260,-81.84622691950
12/01/2022,Vegetation,26.57207580000,-81.84097030000
11/16/2022,Vegetation,26.68901680000,-81.76026070000
10/18/2022,Vegetation,26.54959270000,-81.85655240000
11/05/2022,Vegetation,26.67189470000,-81.89822190000
10/12/2022,Dirty Sand Soil,26.44896070000,-81.94341340000
10/23/2022,Vegetation,26.61511360000,-81.71081170000
10/15/2022,Vegetation,26.71368873830,-81.86891285770
11/09/2022,Vegetation,26.63890300000,-81.91217030000
11/08/2022,Vegetation,26.53065667740,-81.90660875150
10/17/2022,Dirty Sand Soil,26.35716995980,-81.85799388070
01/05/2023,Clean Sand Soil,26.33157828360,-81.84615014130
10/11/2022,Vegetation,26.51749783610,-81.87725764190
10/23/2022,Vegetation,26.70760537960,-81.86385666030
11/19/2022,C and D,26.40579415750,-81.89484002630
11/05/2022,Vegetation,26.64534589560,-81.74562578480
12/12/2022,C and D,26.57809170000,-82.10535070000
10/26/2022,Vegetation,26.57134930000,-81.89123140000
12/13/2022,Compact CD,26.49662286040,-81.91526840450
10/27/2022,Vegetation,26.51379260000,-81.84862740000
10/11/2022,Vegetation,26.47482090000,-81.82452760000
12/14/2022,Vegetation,26.58469939610,-82.10213849330
12/16/2022,C and D,26.56604630000,-81.60395230000
12/02/2022,Vegetation,26.72176000000,-81.96189950000
10/14/2022,C and D,26.55983133710,-81.91983536820
11/18/2022,Mulch,26.59387798600,-81.86909691110
10/06/2022,C and D,26.49706410000,-81.94081160000
12/20/2022,Vegetation,26.64617930910,-81.90212011760
12/11/2022,C and D,26.69533670000,-81.84035500000
01/26/2023,Compact CD,26.56859820000,-82.10115000000
01/22/2023,C and D,26.67056806940,-81.87345827940
01/05/2023,Vegetation,26.49506238900,-82.18581482110
11/16/2022,HHW to DMS,26.66370084510,-81.89574007880
01/09/2023,Vegetation,26.70225639230,-81.87819244750
01/09/2023,Vegetation,26.70217957840,-81.87946270530
11/17/2022,Vegetation,26.69739280730,-81.83368779960
11/17/2022,Vegetation,26.72251620110,-81.79671234810
11/04/2022,Vegetation,26.50762094790,-81.95875470800
11/17/2022,C and D,26.43349190000,-81.91698290000
02/09/2023,Compact CD,26.56853980000,-82.10113320000
02/25/2023,Vegetation,26.49633360000,-81.97298480000
11/05/2022,Vegetation,26.67881190000,-81.86754410000
01/06/2023,Vegetation,26.53573170000,-82.09849570000
12/09/2022,Vegetation,26.63831700000,-82.12321480000
11/17/2022,Vegetation,26.73290987030,-81.91235297290
